Pixibranche ,Ingen anmærkninger ,Indskærpelse ,Påbud eller forbud ,Bødeforlæg  politianmeldelse m.m.
Dagligvarer ,16343 ,1609 ,68 ,182
Lagre og grossister uden produktion ,10129 ,803 ,52 ,83
Restauranter  pizzeriaer  kantiner m.m. ,52199 ,3764 ,82 ,409
Øvrige ,984 ,64 ,2 ,3
Emballager m.v. ,1411 ,45 ,1 ,0
Fabriksfartøjer ,186 ,3 ,0 ,0
Fisk og muslinger m.m. ,802 ,45 ,4 ,4
Fiske- og vildtforretninger  fiskeafdelinger ,1461 ,74 ,1 ,18
Frugt- og grøntforretninger ,865 ,100 ,2 ,21
Frugt og grøntsager (forarbejdning  konservering) ,421 ,28 ,3 ,2
Hospitals- og institutionskøkkener ,4568 ,122 ,0 ,6
Keramikere og anden emballage ,379 ,33 ,0 ,1
Kiosker ,4014 ,291 ,19 ,47
Kosttilskud og særlig ernæring ,131 ,4 ,0 ,1
Krydderier ,95 ,4 ,0 ,0
Kødprodukter ,781 ,43 ,2 ,4
Margarine og fedtstoffer ,91 ,2 ,0 ,0
Mejeriprodukter ,413 ,27 ,0 ,0
Mel  stivelse og pasta ,118 ,0 ,1 ,0
Osteforretninger m.m. ,563 ,29 ,3 ,5
Postordre- og internetsalg m.m.  ,1151 ,68 ,11 ,15
Salater  dressinger m.m. ,50 ,7 ,0 ,1
Slagtere  slagterafdelinger ,4451 ,248 ,7 ,31
Slagterier og opskæring ,745 ,25 ,4 ,2
Mobile salgssteder ,1613 ,125 ,11 ,13
Te og kaffe ,116 ,10 ,1 ,0
Transport ,2262 ,147 ,0 ,4
Vinforretninger ,980 ,111 ,4 ,6
Værtshuse og bodegaer ,4687 ,574 ,39 ,91
Æg ,14 ,2 ,0 ,0
Øl  vand og spiritus ,505 ,19 ,0 ,0
Transport  detail ,826 ,30 ,0 ,4
Grillbarer  pølsevogne m.m. ,23349 ,1663 ,31 ,171
Bo- og væresteder m.m. ,8681 ,847 ,4 ,36
Apoteker og materialister ,2066 ,168 ,11 ,37
Aromaer  tilsætningsstoffer  kulturer og enzymer ,164 ,4 ,0 ,0
Automater ,173 ,8 ,0 ,0
Bagere og bagerafdelinger ,3732 ,381 ,11 ,61
Brød  kager og kiks ,383 ,36 ,1 ,2
Børneinstitutioner ,9508 ,906 ,9 ,32
Delikatesse og smørrebrød ,1701 ,102 ,1 ,7
Catering og diner transportable ,1514 ,68 ,2 ,15
Chokolade- og konfektureforretninger ,1915 ,192 ,12 ,33
Færdigretter m.m. ,42 ,2 ,0 ,0
Virksomheder  engros-branche endnu ikke tildelt ,94 ,19 ,1 ,4
Virksomheder  detail-branche endnu ikke tildelt ,381 ,78 ,4 ,8
Chokolade  sukkervarer og honning ,235 ,10 ,0 ,1